Application ID,Current City,Other skills,Institute,Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10
MS0043,Vijayawada,"Algorithms, Data Structures, Arduino, C Programming, Computer Vision, Deep Learning, Django, HTML, JavaScript, MATLAB, MS-Word, Machine Learning, MySQL, Node.js, PHP, Python",IIIT Sri City,Bachelor of Technology (B.Tech),Computer  Science,2021,N/A,8.10/10,9.70/9.70,9.50/9.50
MS0044,Mysuru,"C Programming, C++ Programming, CSS, Data Structures, Deep Learning, HTML, Machine Learning, Natural Language Processing (NLP), Neural Networks, OpenCV, Python, Django, Flask, Java, MySQL, Raspberry Pi","The National Institute Of Engineering ,Mysuru",Bachelor of Engineering (B.E),Computer  Science,2022,N/A,9.70/10,83.20/83.20,8.80/8.80
MS0045,Mumbai,"Adobe Photoshop, AutoCAD, C++ Programming, Image Processing, MATLAB, Machine Learning, Python, SolidWorks, LaTeX",Indian Institute Of Technology Bombay,Bachelor of Technology (B.Tech),Mechanical Engineering,2021,N/A,8.43/10,98.60/98.60,9.80/9.80
MS0046,Delhi,"Arduino, C Programming, HTML, Machine Learning, Bootstrap, C++ Programming, Deep Learning, Heroku, Natural Language Processing (NLP), Neural Networks, OpenCV, Python, PCB Design","G.B. Pant Govt. Engineering College, Okhla, New Delhi",B.Tech (Hons.),Electronics and Communication,2022,N/A,N/A,N/A,N/A
MS0047,Delhi,"C++ Programming, Java, Machine Learning, Python",Delhi Technological University,Bachelor of Technology (B.Tech),computer science,2021,N/A,7.70/10,91.20/91.20,10.00/10.00
MS0048,Delhi,"Algorithms, Android, Artifical Intelligence, Bootstrap, C Programming, C++ Programming, CSS, Computer Vision, Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Financial Modeling, Flask, GitHub, Google Cloud Computing, HTML, Heroku, Image Processing, Java, Linear Programming, Linux, MATLAB, MS-Excel, MS-Office, Machine Learning, Mathematics, Natural Language Processing (NLP), Neural Networks, OpenCV, PHP, Perl, Python, R Programming, REST API, Raspberry Pi, SQL, Statistical Modeling, Unix, WordPress, AngularJS, Django, JavaScript, ReactJS, Data Structures, Ethical Hacking, JSON, Shell Scripting",Guru Gobind Singh Indraprastha University,Bachelor of Technology (B.Tech),Mechanical and automation engineering,2020,N/A,N/A,80.00/80.00,7.40/7.40
MS0049,Chennai,"MySQL, Python, Algorithms, Amazon Web Services (AWS), Computer Vision, Data Structures, Deep Learning, Flask, Google Cloud Computing, Machine Learning, Microsoft Azure, Natural Language Processing (NLP), R Programming, Statistical Modeling, Tableau, REST API","SSN School Of Advanced Career Education, Chennai",Post Graduate Programme (PGP),Data Analytics,2020,N/A,7.16/10,72.60/72.60,94.80/94.80
MS0050,Ghaziabad,"English Proficiency (Written), MS SQL Server, C Programming, Data Science, Database Management System (DBMS), Deep Learning, Docker, English Proficiency (Spoken), Linux, Machine Learning, SQL, Statistical Modeling, Artifical Intelligence, Data Analytics, Oracle, Python, User Interface (UI) Development",Krishna Engineering College,Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,N/A,8.50/10,9.60/9.60,N/A
MS0051,Ahmedabad,"C++ Programming, Python, Data Analytics, Machine Learning",Nirma University,Bachelor of Technology (B.Tech),Information Technology,2021,N/A,7.60/10,N/A,N/A
MS0052,Delhi,"C Programming, C++ Programming, CSS, GitHub, HTML, Machine Learning, PHP, Python","Shri Mata Vaishno Devi University,  Jammu",B.Tech (Hons.),Computer  Science,2021,N/A,9.31/10,7.50/7.50,10.00/10.00
MS0053,Bambolim,"C Programming, HTML, MS-Word, Python, Adobe Photoshop, CSS, Data Analytics, Deep Learning, Django, JavaScript, MS-Excel, Machine Learning",Goa College of Engineering,Bachelor of Engineering (B.E),Electronics and Telecommunication Engineering (ETE),2021,N/A,70.00/100,70.00/70.00,9.80/9.80
MS0054,Delhi,"Django, Python, Data Analytics, Deep Learning, JavaScript, Machine Learning, SQL, Statistical Modeling",Maharaja Agrasen Institute of Technology,Bachelor of Technology (B.Tech),computer science,2021,N/A,9.00/10,N/A,N/A
MS0055,Warangal,"C++ Programming, Data Analytics, MS-Office, Machine Learning, MySQL, Python, C Programming",NITW,Bachelor of Technology (B.Tech),Electronics and Communication,2021,N/A,6.01/10,9.78/9.78,9.80/9.80
MS0056,Ghaziabad,"MS-Excel, Python, R Programming, SAS, SQL",SRMCEM,Bachelor of Technology (B.Tech),Computer Science & Engineering,2006,N/A,8.00/10,N/A,N/A
MS0057,Agra,"C Programming, Data Structures, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Java, Machine Learning, Neural Networks, Python, Creative Writing, Hindi Proficiency (Written), LaTeX, MS-Excel, Blogging",Ashoka University,Bachelor of Science (B.Sc),computer science,2020,N/A,3.68/4,94.00/94.00,95.40/95.40
MS0058,Delhi,"C++ Programming, Java, JavaScript, Machine Learning","Amity School of Engineering & Technology, Bijwasan",Bachelor of Technology (B.Tech),Information Technology,2021,N/A,8.20/10,86.00/86.00,N/A
MS0059,Delhi,"MS-Excel, MS-PowerPoint, Python, Database Management System (DBMS), Machine Learning, MySQL, Power BI","South Campus, Delhi University",Master of Science (M.Sc),Operational Research,2021,N/A,7.69/10,91.00/91.00,9.20/9.20
MS0060,Roorkee,"CSS, JavaScript, MS-Office, Python, Bootstrap, C Programming, C++ Programming, HTML, Machine Learning, SQL",IIT Roorkee,Bachelor of Technology (B.Tech),Civil Engineering,2022,N/A,7.50/10,87.60/87.60,9.00/9.00
MS0061,Delhi,"C Programming, C++ Programming, CSS, HTML, JSP, Java, Machine Learning, Python, Servlets",HMR Institute of Technology and Management,Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,N/A,80.00/100,87.00/87.00,9.40/9.40
MS0062,Ahmedabad,"CSS, HTML, Java, Python, SQL",Nirma University,Bachelor of Technology (B.Tech),Computer  Science,2021,N/A,8.40/9,94.00/94.00,N/A
MS0063,Delhi,"MS-Office, Data Analytics, MS-Excel, R Programming, Python",Aryabhatta College,Bachelor of Economics (B.Econ) (Hons.),Economics,2021,N/A,N/A,93.20/93.20,9.80/9.80
MS0064,Pune,"MS-Excel, R Programming, Data Analytics, Python",Indira College,MBA,Business Analytics,2021,N/A,66.66/100,74.83/74.83,86.00/86.00
MS0065,Delhi,"Adobe Photoshop, Bootstrap, C Programming, C++ Programming, English Proficiency (Spoken), English Proficiency (Written), HTML, Java, MS-Excel, MS-Word, Machine Learning, Natural Language Processing (NLP), OpenCV, Python, SQL",Bharati Vidyapeeth College Of Engineering,Bachelor of Technology (B.Tech),Information Technology,2021,N/A,N/A,92.00/92.00,8.00/8.00
MS0066,Noida,"Python, Adobe Photoshop, Arduino, C Programming, C++ Programming, HTML, Machine Learning, CSS, MySQL, Unix","Jaypee Institute of Information Technology, Noida",Bachelor of Technology (B.Tech),Electronics and Communication,2021,N/A,7.60/10,90.40/90.40,9.60/9.60
MS0067,Dehradun,"C Programming, C++ Programming, CSS, Data Analytics, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), HTML, Java, Linux, Machine Learning, MySQL, Natural Language Processing (NLP), PHP, Python, Algorithms",University of Petroleum & Energy Studies Dehradun,Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,N/A,6.91/10,84.20/84.20,8.20/8.20
MS0068,Kharagpur,"Algorithms, C Programming, C++ Programming, Data Analytics, Data Science, Deep Learning, JSON, Java, MS-Excel, MS-Office, Machine Learning, Python, SQL, HTML",IIT Kharagpur,Integrated B.Tech & M.Sc,Mathematics and Computing,2023,N/A,8.77/10,97.25/97.25,96.80/96.80
MS0069,Surat,"Digital Marketing, Manual Testing, Python, Data Analytics, Machine Learning",Sigma Institute Of Engineering,Bachelor of Engineering (B.E),Computer  Science,2013,N/A,6.01/10,N/A,N/A
MS0070,Ghaziabad,"C Programming, Java, Python, Deep Learning",KIET Group of Institutions,Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,N/A,N/A,77.60/77.60,9.20/9.20
MS0071,Delhi,"Algorithms, Data Structures, Python, Deep Learning, Machine Learning, Neural Networks",Amity School Of Engineering & Technology,Bachelor of Technology (B.Tech),Electronics and Communication,2021,N/A,N/A,N/A,N/A
MS0072,Delhi,"Data Analytics, Machine Learning, Python",Delhi Technical Campus,Bachelor of Technology (B.Tech),Electronics and Communication,2022,N/A,6.99/10,88.20/88.20,10.00/10.00
MS0073,Pune,"Python, R Programming, SQL",Vishwakarma Institute of Technology,Master of Technology (M.Tech),Computer  Science,2014,7.80/10,N/A,N/A,N/A
MS0074,Delhi,"Data Analytics, Data Science, Flask, Machine Learning, Natural Language Processing (NLP), Python, Deep Learning, HTML, Heroku, MongoDB, SQL",Jims Vasant Kunj,Bachelor of Business Administration (B.B.A.),,2020,N/A,N/A,N/A,N/A
MS0075,Bangalore,"MS-Office, Computer Vision, Data Analytics, Deep Learning, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL",Great Lakes Institute of Management,Post Graduate Programme (PGP),Artificial Intelligence And Machine Learning,2020,71.00/100,60.00/100,71.00/71.00,N/A
MS0076,Delhi,"Computer Vision, Deep Learning, Machine Learning, OpenCV, Python, Artifical Intelligence, C++ Programming, Data Science, Data Structures, GitHub, Natural Language Processing (NLP)",MAIT,Bachelor of Technology (B.Tech),Computer  Science,2022,N/A,N/A,81.20/81.20,9.60/9.60
MS0077,Faridabad,"C Programming, Data Structures, Machine Learning, Python, C++ Programming, Digital Signal Processing, MATLAB, MS-Excel, MS-PowerPoint, MS-Word, VHDL, VLSI",HMR Institute of Technology and Management,Bachelor of Technology (B.Tech),Electronics and Communication,2021,N/A,74.10/100,66.20/66.20,81.70/81.70
MS0078,Hamirpur,"Bootstrap, C Programming, CSS, Data Analytics, Database Testing, Deep Learning, HTML, Image Processing, JavaScript, Machine Learning, OrCAD, Python, Android, Computer Vision, PCB Design",IIIT UNA,Bachelor of Technology (B.Tech),Electronics and Computer Engineering,2021,N/A,9.35/10,86.60/86.60,98.83/98.83
MS0079,Banglore,"Bootstrap, CSS, HTML, JavaScript, WordPress, Java, Python",Indira Gandhi University Meerpur,Bachelor of Technology (B.Tech),computer science,2020,N/A,70.00/100,82.60/82.60,9.20/9.20
MS0080,Delhi,"Python, Android, C Programming, C++ Programming, Data Science, Data Structures, Database Management System (DBMS), Firebase, HTML, Java, Kotlin, Machine Learning, Microsoft Azure, SQL, SQLite, UI & UX Design, Amazon Web Services (AWS), Data Analytics, PHP",Northern India Engineering College,Bachelor of Technology (B.Tech),Computer  Science,2021,N/A,N/A,85.00/85.00,N/A
MS0081,Indore,"C Programming, C++ Programming, Copywriting, Data Structures, Deep Learning, HTML, MS-Excel, MS-PowerPoint, MS-Word, Python, SQL, Amazon Web Server (AWS), Artifical Intelligence, Data Analytics, Data Science, Google Cloud Computing, Machine Learning, Search Engine Optimization (SEO), User Interface (UI) Development, WordPress",Gyan Ganga College of Technology,Integrated B.E & M.Tech,Digital Electronics & Communication Systems (DECS),2014,N/A,7.95/10,N/A,N/A
MS0082,Bhubaneswar,"Android, Arduino, C Programming, Database Management System (DBMS), Eclipse (IDE), Java, Machine Learning, Robotics, Servlets, CSS, Cloud Computing, Data Analytics, Data Structures, Deep Learning, Firebase, HTML, Internet of Things (IoT), JavaScript, MySQL, OpenCV, PHP, Python, R Programming, Raspberry Pi, XML",Igit Sarang,Bachelor of Technology (B.Tech),Computer Science & Engineering,2020,N/A,8.20/10,7.40/7.40,8.40/8.40
MS0083,Delhi,"C++ Programming, Data Structures, Java, MS-Office, MS-Word, Machine Learning",Maharaja Agrasen Institute of Technology,Bachelor of Technology (B.Tech),Information Technology,2021,N/A,8.70/10,89.40/89.40,9.80/9.80
MS0084,Hyderabad,"C Programming, Data Science, Deep Learning, Machine Learning, MySQL, R Programming, Natural Language Processing (NLP)",K L University,Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,N/A,9.10/10,95.10/95.10,8.70/8.70
MS0085,Delhi,"Data Analytics, Data Science, Database Management System (DBMS), MS-Excel, Machine Learning, Python, SQL, C++ Programming, Data Structures, Flutter",Delhi College of Engineering   DTU,Bachelor of Technology (B.Tech),Electrical Engineering,2021,N/A,8.14/10,85.60/85.60,9.20/9.20
MS0086,Bharatpur,"C++ Programming, Computer Vision, Deep Learning, Python, Artifical Intelligence, Data Analytics, Data Science, Machine Learning, Natural Language Processing (NLP), R Programming",Indian Institute Of Technology Kanpur,Bachelor of Technology (B.Tech),Chemical Engineering,2022,N/A,8.44/10,89.80/89.80,10.00/10.00
MS0087,Pune,"Deep Learning, Machine Learning, Artifical Intelligence, Natural Language Processing (NLP), Python",Genba Sopanrao Moze college of Engineering,Bachelor of Engineering (B.E),Computer  Science,2021,N/A,7.87/10,N/A,N/A
MS0088,Delhi,"Deep Learning, Machine Learning, Python","Netaji Subhas Institute Of Technology (NSIT), Delhi University",Bachelor of Engineering (B.E),Manufacturing Process And Automation,2017,N/A,N/A,85.00/85.00,N/A
MS0089,Pune,"Algorithms, C++ Programming, Data Structures, Deep Learning, Statistical Modeling, Data Analytics, Machine Learning, Python, R Programming",SKNCOE,Bachelor of Engineering (B.E),cs,2020,N/A,N/A,N/A,N/A
MS0090,Hyderabad,"Machine Learning, Neural Networks, Python, Arduino, C Programming, Data Structures, Deep Learning, English Proficiency (Spoken), GitHub, MATLAB, Mathematics, Statistical Modeling",NIT Rourkela,Bachelor of Technology (B.Tech),Electrical Engineering,2022,N/A,N/A,98.10/98.10,N/A
MS0091,Pune,"Artifical Intelligence, C Programming, C++ Programming, Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), Internet of Things (IoT), Java, MS-Office, Machine Learning, OpenCV, Python, Raspberry Pi, Robotics, Computer Networks, Database Management System (DBMS), Deep Learning, GNU Octave, Natural Language Processing (NLP), NoSQL, Tableau",MARATHWADA MITRA MANDAL'S COLLEGE OF ENGINEERING,Bachelor of Engineering (B.E),Computer Science & Engineering,2021,N/A,8.98/10,N/A,N/A
MS0092,Bhubaneswar,"Algorithms, C Programming, C++ Programming, CSS, Computer Networking, Data Structures, Database Management System (DBMS), HTML, Java, JavaScript, Machine Learning, Image Processing",IIIT Bhubaneswar,Bachelor of Technology (B.Tech),Information Systems,2019,N/A,7.44/10,83.80/83.80,95.00/95.00
MS0093,Chennai,"C Programming, Python, Computer Vision, Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks",Indian Institute Of Technology Kharagpur,Dual Degree,Mechanical Engineer,2023,N/A,9.18/10,9.30/9.30,9.50/9.50
MS0094,Mumbai,"Adobe Illustrator, Adobe Photoshop, C Programming, CSS, Data Science, HTML, Java, JavaScript, Machine Learning, Python, SQL, Android",Vidyalankar Institute Of technology,Bachelor of Engineering (B.E),,2022,N/A,8.43/10,80.00/80.00,93.00/93.00
MS0095,Delhi,"C++ Programming, Python, Artifical Intelligence, Data Structures, Deep Learning, Java, Machine Learning, Neural Networks",HMR Institute of Technology and Management,Bachelor of Technology (B.Tech),Information Technology,2021,N/A,N/A,8.00/8.00,8.60/8.60
MS0096,Delhi,"English Proficiency (Written), Data Analytics, Digital Marketing, English Proficiency (Spoken), Facebook Marketing, MS-Office, Machine Learning, MySQL, Python, R Programming","Jaypee Institute of Information Technology, Noida",Bachelor of Technology (B.Tech),Information Systems,2019,N/A,6.40/10,N/A,N/A
MS0097,Noida,"C++ Programming, Data Science, Deep Learning, GitHub, Image Processing, Machine Learning, MySQL, Natural Language Processing (NLP), Python, Algorithms, Computer Vision, Microsoft Visual Studio","Jaypee Institute of Information Technology, Noida",Bachelor of Technology (B.Tech),Computer  Science,2022,N/A,7.70/10,N/A,N/A
MS0098,Chennai,"C Programming, C++ Programming, Data Structures, BIG DATA ANALYTICS, Database Management System (DBMS), Deep Learning, Machine Learning, Statistical Modeling, Computer Vision","Coimbatore Institute of Technology, Coimbatore",Integrated M.Sc.,Data Science,2022,7.91/10,N/A,N/A,N/A
MS0099,Pune,"Machine Learning, Python, Statistical Modeling",Central University of Rajasthan,Master of Science (M.Sc),Big Data Analytics,2021,7.58/10,71.33/100,81.60/81.60,91.20/91.20
MS0100,Dhanbad,"Python, Adobe After Effects, Adobe Premiere Pro, Algorithms, C Programming, C++ Programming, Data Structures, Deep Learning, Java, Machine Learning, MySQL",IIT(ISM) Dhanbad,Bachelor of Technology (B.Tech),Computer Science & Engineering,2020,N/A,8.96/10,93.40/93.40,85.40/85.40
MS0101,Hyderabad,"C Programming, CSS, HTML, Java, Python, SQL, Machine Learning, PHP",International School Of Engineering (INSOFE),Post Graduate Programme (PGP),Data Science,2020,N/A,68.00/100,8.70/8.70,8.80/8.80
MS0102,Gurugram,"SQL, Data Analytics, Data Science, MS-Excel, Machine Learning, Python, Statistical Modeling","Government College For Girls , Gurgaon",Master of Computer Applications (MCA),Advanced Computer Science,2020,78.50/100,7.00/10,75.00/75.00,N/A
MS0103,Indore,"MS-Excel, MS-Office, Python, C Programming, Data Analytics, Email Marketing, Facebook Marketing, Google AdWords, Google Analytics, HTML, Instagram Marketing, Machine Learning, R Programming, Search Engine Optimization (SEO), WordPress",Great Lakes Institute of Management,Post Graduate Programme (PGP),Machine Learning,2020,7.32/10,7.52/10,N/A,N/A
